,Feminino,Masculino,Total(1)
,2006 2007,2006 2007,2006 2007
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7506 7505
1074 1061
807 796
782 844
617 595
546 521
441 441
441 416
455 483
450 409
408 430
382 376
350 363
298 342
370 392
85 36","5415 5064
1012 1034
845 740
802 798
562 480
435 382
291 295
296 277
237 215
207 170
155 148
138 131
105 115
103 109
168 156
59 14","12960 12588
2091 2100
1659 1541
1588 1645
1184 1077
986 904
734 736
738 693
692 699
659 579
567 578
521 508
455 478
402 451
539 549
145 50"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7952 7895
1103 1097
867 840
849 881
651 630
570 545
464 460
466 438
479 505
477 433
436 451
409 395
371 383
314 374
407 427
89 36","5981 5582
1066 1087
938 816
926 898
626 543
485 432
328 323
325 310
259 238
220 191
164 167
152 148
120 120
118 121
183 171
71 17","13974 13499
2174 2189
1812 1662
1779 1782
1282 1175
1061 978
794 783
793 748
738 744
699 624
604 618
562 545
491 503
433 495
591 599
161 54"
