,"Acidentes com
vítimas","Acidentes com
mortos e/ou f.
graves","Acidentes com
mortos","Índice
de
Gravidade"
,2006 2007,2006 2007,2006 2007,2006 2007
"REGIÃO
ALENTEJO
Beja
Évora
Portalegre","1480 1490
550 575
576 581
354 334","277 254
109 113
100 81
68 60","70 47
33 19
20 18
17 10","5,2 3,9
6,5 4,3
3,6 3,4
5,6 3,9"
