,,,,,,,,,,,,,,,,,,,,,,Feminino,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2207,,2226,,,,,,,,,,,,,,,Masculino,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1936,,,,,,1857,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1657,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1234,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,930,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
457,,,4912,,5178,,5046,,4274,,,,,,,,623,,,,,,,,,
,457,,,,,,,,,,,,,,,,,,387,,,,,,,
,2030,,,,,,,,,,3917,,3490,,3017,,2565,,,,202,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"52
271",,,,,,,,,,,,,,,,,,,2005,,1657,,,1297,,1329
