,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2006 2007,2006 2007,2006 2007,2006 2007
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","32 42
40 39
39 51
53 36
54 40
38 44
53 55
57 50
40 47
41 47
54 45
50 35","134 115
145 106
156 153
164 140
198 141
171 156
220 200
203 183
165 125
159 175
125 144
174 134","1934 1776
1761 1725
1945 2011
1848 2011
2070 2108
2204 2238
2475 2474
2409 2262
2257 2107
2174 2178
2027 2155
1978 1999","2100 1933
1946 1870
2140 2215
2065 2187
2322 2289
2413 2438
2748 2729
2669 2495
2462 2279
2374 2400
2206 2344
2202 2168"
Total,551 531,2014 1772,25082 25044,27647 27347
