,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2006 2007,2006 2007,2006 2007,2006 2007
"Com capacete/cinto segurança
Com sistema retenção criança
Sem capacete/cinto segurança
Sem sistema retenção criança","102 121
4 1
55 62
1 2","605 546
45 25
192 149
6 5","9907 9825
1212 1078
1626 1581
147 99","10614 10492
1261 1104
1873 1792
154 106"
Total(1),162 186,852 725,12960 12588,13974 13499
