,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2006 2007,2006 2007,2006 2007,2006 2007
"REGIÃO
NORTE
Braga
Bragança
Porto
V. Castelo
V. Real","219 195
60 44
23 25
96 89
20 24
20 13","830 732
237 227
71 63
371 313
70 61
81 68","12393 12405
3561 3474
486 463
6589 6590
994 1009
763 869","13442 13332
3858 3745
580 551
7056 6992
1084 1094
864 950"
