,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2006 2007,2006 2007,2006 2007,2006 2007
"Dentro das localidades
Janeiro
Fevereiro
Março
Abril
Maio
Junho
Julho
Agosto
Setembro
Outubro
Novembro
Dezembro","88 87
10 8
7 8
6 6
5 8
3 3
5 4
5 3
8 8
6 12
11 7
11 16
11 4","548 535
37 34
55 45
39 49
31 57
49 47
55 41
41 35
45 35
44 48
52 49
55 50
45 45","5360 5328
444 445
424 450
424 435
384 389
429 435
413 408
436 466
418 402
454 399
481 512
546 527
507 460","5996 5950
491 487
486 503
469 490
420 454
481 485
473 453
482 504
471 445
504 459
544 568
612 593
563 509"
"Fora das localidades
Janeiro
Fevereiro
Março
Abril
Maio
Junho
Julho
Agosto
Setembro
Outubro
Novembro
Dezembro","49 50
6 5
4 7
5 2
3 2
2 3
3 4
2 3
3 2
4 4
1 6
7 5
9 7","69 84
7 7
6 8
2 11
3 4
7 9
6 4
1 7
1 6
3 2
11 8
9 12
13 6","252 242
26 19
14 22
16 25
15 15
22 14
15 19
32 25
22 21
23 17
17 23
23 23
27 19","370 376
39 31
24 37
23 38
21 21
31 26
24 27
35 35
26 29
30 23
29 37
39 40
49 32"
"Total
Janeiro
Fevereiro
Março
Abril
Maio
Junho
Julho
Agosto
Setembro
Outubro
Novembro
Dezembro","137 137
16 13
11 15
11 8
8 10
5 6
8 8
7 6
11 10
10 16
12 13
18 21
20 11","617 619
44 41
61 53
41 60
34 61
56 56
61 45
42 42
46 41
47 50
63 57
64 62
58 51","5612 5570
470 464
438 472
440 460
399 404
451 449
428 427
468 491
440 423
477 416
498 535
569 550
534 479","6366 6326
530 518
510 540
492 528
441 475
512 511
497 480
517 539
497 474
534 482
573 605
651 633
612 541"
