,,,,,,,,,,,
,52%,,,,53%,,65%,,52%,,60%
,,,94%,,,,,,,,
,,,,,,,,,,,
,48%,,,,47%,,,,48%,,
,,,,,,,,,,,
,,,,,,,35%,,,,40%
,,,6%,,,,,,,,
