,"Acidentes c/
vítimas",Mortos,Feridos graves,Feridos leves,"Total de
vítimas"
"REGIÃO NORTE
Dentro Localidade
Fora Localidade","9802
7891
1911","195
121
74","732
547
185","12405
9777
2628","13332
10445
2887"
"Braga
Dentro Localidade
Fora Localidade","2681
2311
370","44
32
12","227
191
36","3474
2969
505","3745
3192
553"
"Bragança
Dentro Localidade
Fora Localidade","396
173
223","25
5
20","63
27
36","463
183
280","551
215
336"
"Porto
Dentro Localidade
Fora Localidade","5259
4414
845","89
66
23","313
246
67","6590
5414
1176","6992
5726
1266"
"V. Castelo
Dentro Localidade
Fora Localidade","791
578
213","24
14
10","61
41
20","1009
710
299","1094
765
329"
"V. Real
Dentro Localidade
Fora Localidade","675
415
260","13
4
9","68
42
26","869
501
368","950
547
403"
