,Feminino,Masculino,Total(1)
,2006 2007,2006 2007,2006 2007
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7104 7470
38 46
342 296
1109 1094
1210 1207
1116 1171
831 913
724 848
575 653
447 495
264 323
171 195
126 100
85 63
41 61
25 5","17735 17364
200 232
1297 1186
2358 2168
2374 2218
2137 2094
1675 1639
1505 1491
1388 1332
1069 1113
901 958
748 781
736 764
605 653
641 702
101 33","25082 25044
241 281
1646 1493
3494 3283
3613 3454
3268 3293
2522 2579
2249 2353
1992 2001
1531 1616
1174 1288
926 983
869 867
697 722
692 771
168 60"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7441 7749
40 52
352 308
1159 1124
1261 1257
1163 1207
884 949
746 878
617 683
462 515
278 333
181 205
130 105
90 66
52 62
26 5","19941 19366
224 260
1447 1347
2665 2446
2660 2474
2408 2364
1859 1817
1672 1655
1557 1463
1194 1254
1013 1040
852 854
839 845
701 713
732 798
118 36","27647 27347
267 315
1808 1667
3852 3596
3950 3762
3586 3601
2763 2795
2441 2548
2204 2166
1673 1779
1301 1381
1040 1067
977 953
798 786
795 868
192 63"
