,"Acidentes c/
vítimas","Vítimas
mortais",Feridos graves,Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2006 2007,2006 2007,2006 2007,2006 2007,2006 2007,2006 2007
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","2744 2589
2575 2512
2768 2826
2627 2839
2928 2942
3027 3032
3372 3423
3398 3203
3164 2891
3093 3131
2999 3053
2985 2870","62 70
60 59
58 80
70 56
70 57
58 62
79 79
88 85
64 74
66 74
88 95
87 63","250 194
273 205
251 288
277 262
322 263
292 262
341 303
357 307
279 229
294 306
252 256
295 241","3367 3101
3034 3049
3272 3348
3313 3444
3466 3548
3744 3725
4242 4294
4360 4091
3848 3610
3855 3657
3551 3763
3602 3572","3679 3365
3367 3313
3581 3716
3660 3762
3858 3868
4094 4049
4662 4676
4805 4483
4191 3913
4215 4037
3891 4114
3984 3876","2,3 2,7
2,3 2,3
2,1 2,8
2,7 2,0
2,4 1,9
1,9 2,0
2,3 2,3
2,6 2,7
2,0 2,6
2,1 2,4
2,9 3,1
2,9 2,2"
Total,35680 35311,850 854,3483 3116,43654 43202,47987 47172,"2,4 2,4"
