,Até 5 anos,5 a 9 anos,10 a 14 anos
,2006 2007,2006 2007,2006 2007
"Veíc. ligeiro
Veíc. pesado
Ciclomotor
Motociclos
Sub-total","11550 10982
595 557
781 851
1370 1385
14296 13775","16314 15693
991 964
1296 1120
1432 1425
20033 19202","10527 10428
468 482
849 853
659 729
12503 12492"
,15 a 19 anos,>=20 anos,Total(1)
,2006 2007,2006 2007,2006 2007
"Veíc. ligeiro
Veíc. pesado
Ciclomotor
Motociclos
Sub-total","4738 5796
324 329
920 1067
183 279
6165 7471","708 843
87 94
333 360
65 58
1193 1355","44627 44075
2529 2451
4457 4430
3853 3933
55466 54889"
