,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2006 2007,2006 2007,2006 2007,2006 2007,2006 2007
"Veíc. ligeiro
Veíc. pesado
Velocípedes
Ciclomotores
Motociclos
Outros(1)","275 281
15 20
35 30
76 59
113 112
37 29","1032 880
40 30
119 95
398 333
398 401
27 33","16425 16427
437 403
1357 1256
3649 3664
3059 3100
155 194","17732 17588
492 453
1511 1381
4123 4056
3570 3613
219 256","44571 44056
2522 2451
1597 1439
4456 4430
3851 3933
436 482"
Total,551 531,2014 1772,25082 25044,27647 27347,57433 56791
