,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2006 2007,2006 2007,2006 2007,2006 2007
"00-03
03-06
06-09
09-12
12-15
15-18
18-21
21-24","48 43
42 46
64 60
64 57
71 64
96 89
102 98
64 74","170 166
128 101
203 187
203 180
293 261
371 308
399 351
247 218","1325 1264
836 870
2864 2914
3698 3983
4367 4174
4847 4793
4749 4767
2396 2279","1543 1473
1006 1017
3131 3161
3965 4220
4731 4499
5314 5190
5250 5216
2707 2571"
Total,551 531,2014 1772,25082 25044,27647 27347
