,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2006 2007,2006 2007,2006 2007,2006 2007
"Dia
Noite
Aurora ou crepúsculo","73 85
78 91
11 10","484 389
322 305
46 31","8708 8472
3863 3705
349 385","9265 8946
4263 4101
406 426"
Total(1),162 186,852 725,12960 12588,13974 13499
