,Feminino,Masculino,Total(1)
,2006 2007,2006 2007,2006 2007
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","67 81
1 7
12 7
7 6
7 4
1 3
5 2
2 3
3 2
7 8
6 3
4 7
6 7
0 9
6 13
0 0","94 103
8 7
10 9
15 22
16 12
5 8
6 9
3 6
3 5
3 1
2 6
6 4
2 0
4 6
3 6
8 2","162 186
9 14
22 16
22 28
23 16
6 11
11 11
6 9
6 7
10 9
8 9
10 12
8 7
4 15
9 19
8 3"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","379 309
28 29
48 37
60 31
27 31
23 21
18 17
23 19
21 20
20 16
22 18
23 12
15 13
16 23
31 22
4 0","472 415
46 46
83 67
109 78
48 51
45 42
31 19
26 27
19 18
10 20
7 13
8 13
13 5
11 6
12 9
4 1","852 725
74 75
131 105
169 109
75 82
69 63
49 36
49 46
40 38
30 36
29 31
31 25
28 18
27 29
43 31
8 1"
