,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2006 2007,2006 2007,2006 2007,2006 2007
"REGIÃO
CENTRO
Aveiro
C. Branco
Coimbra
Guarda
Leiria
Viseu","266 262
58 54
21 36
43 38
29 17
67 77
48 40","949 855
262 241
107 122
106 97
83 85
221 196
170 114","12632 12246
3604 3591
823 820
2475 2450
710 655
3088 2967
1932 1763","13847 13363
3924 3886
951 978
2624 2585
822 757
3376 3240
2150 1917"
