Aveiro,,,,,,,,
"Código
da via","Km
Inicial","km
Final","Nº de
Acidentes","Nº de
Veículos","Nº de
Mortos","Nº de
F.Graves","Nº de
F.Leves","Indicador de
Gravidade"
"A29(1)
EN109
EN223
EN223","37,500
42,450
18,950
17,000","37,520
42,500
19,130
17,000","5
5
6
5","7
9
13
12","0
0
0
0","1
1
5
0","10
5
5
9","40
25
65
27"
Coimbra,,,,,,,,
"EN1
EN111
EN234-6
IP3","199,100
12,900
4,700
49,300","199,268
13,100
4,750
49,490","5
9
6
6","16
18
6
6","0
0
0
0","0
1
0
0","8
9
10
9","24
37
30
27"
Leiria,,,,,,,,
"EN1
EN242
EN349-1
IC2","135,700
36,900
7,450
120,900","135,900
37,100
7,600
121,100","5
6
5
6","13
7
11
14","0
0
0
0","0
0
1
1","11
10
4
9","33
30
22
37"
Viseu,,,,,,,,
"EN16
EN234","90,100
88,400","90,300
88,600","5
7","10
8","0
0","1
0","4
7","22
21"
(1) Sentido crescente da quilometragem,,,,,,,,
