,"Vítimas mortais
(M)","Feridos graves
(FG)",Feridos leves,Total de vítimas,"M e FG por 100
vítimas em 2007"
,2006 2007,2006 2007,2006 2007,2006 2007,M FG
"Peões
Veíc.ligeiros*
Veíc. Pesados*
Velocípedes*
Ciclomotores*
Motociclos*
Outros*","137 137
418 432
17 35
35 30
85 62
120 127
38 31","617 619
1754 1497
66 52
125 98
432 362
449 446
40 42","5612 5570
27955 27575
909 829
1388 1290
4114 4132
3448 3531
228 275","6366 6326
30127 29504
992 916
1548 1418
4631 4556
4017 4104
306 348","2,2 9,8
1,5 5,1
3,8 5,7
2,1 6,9
1,4 7,9
3,1 10,9
8,9 12,1"
Total,850 854,3483 3116,43654 43202,47987 47172,"1,8 6,6"
