,Feminino,Masculino,Total(1),População*,"Total cond./
1000 hab."
,2006 2007,2006 2007,2006 2007,,
"<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","44 52
520 457
1980 1936
2292 2207
2151 2226
1777 1857
1516 1657
1140 1234
837 930
511 623
352 387
207 202
140 115
88 103
62 36","237 271
2100 2030
5368 4912
5623 5178
5155 5046
4295 4274
4045 3917
3573 3490
2917 3017
2506 2565
1930 2005
1634 1657
1253 1297
1197 1329
376 188","284 326
2634 2504
7409 6899
7983 7456
7374 7342
6124 6203
5617 5628
4770 4777
3793 3981
3043 3218
2304 2409
1852 1873
1404 1427
1299 1449
1543 1299","1637637
586291
679240
792696
847532
789677
786600
748115
685086
647772
569832
516443
491749
820425
-","0,2
4,3
10,2
9,4
8,7
7,9
7,2
6,4
5,8
5,0
4,2
3,6
2,9
1,8
-"
Total,13617 14022,42209 41176,57433 56791,10599095,"5,4"
