,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2006 2007,2006 2007,2006 2007,2006 2007,2006 2007
"Adequada ao veiculo
Não adequada veic.
Em instrução/exame
Caducada/suspensa
Sem licença/carta
Não necessária
Não definido","469 440
13 11
0 1
5 3
31 43
31 31
2 2","1654 1433
37 36
1 1
14 5
197 199
106 96
5 2","22527 22500
285 311
16 19
66 86
902 868
1198 1225
88 35","24650 24373
335 358
17 21
85 94
1130 1110
1335 1352
95 39","52679 52023
591 684
20 26
106 121
1421 1371
1415 1411
1201 1155"
Total,551 531,2014 1772,25082 25044,27647 27347,57433 56791
