,Feminino,Masculino,Total(1)
,2006 2007,2006 2007,2006 2007
"Feridos leves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","2938 2947
103 90
148 119
216 231
225 247
135 149
131 147
137 126
139 121
189 146
151 166
170 172
157 176
193 181
199 207
214 229
408 432
23 8","2662 2606
193 171
238 228
254 281
154 144
123 107
129 121
119 109
125 135
130 127
146 152
155 133
116 134
143 130
141 138
161 163
310 326
25 7","5612 5570
297 261
387 349
470 514
379 394
259 257
260 269
256 236
265 258
319 275
297 320
326 306
274 310
338 311
340 345
376 392
720 758
49 15"
"Total de vítimas
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","3281 3270
112 105
162 126
236 252
240 258
146 160
139 158
147 134
155 141
207 160
167 185
194 189
182 192
214 203
222 228
253 266
482 504
23 9","3071 3039
218 190
260 253
272 301
172 154
135 118
144 138
138 138
140 159
162 158
180 173
176 155
146 159
171 160
168 170
188 202
369 401
32 10","6365 6326
331 295
423 381
508 555
412 415
282 279
283 297
285 273
296 302
369 320
347 360
371 345
329 351
387 363
390 398
442 468
854 905
56 19"
