,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2006 2007,2006 2007,2006 2007,2006 2007,2006 2007
"< 1 ano
1 a 5 anos
6 a 10 anos
11 a 20 anos
>= 20 anos
Não definido","16 11
101 108
102 89
115 114
139 123
16 11","60 69
431 387
375 315
410 378
389 306
45 21","915 932
6273 5874
4975 4975
5595 6039
4826 4914
382 197","991 1012
6805 6369
5452 5379
6120 6531
5354 5343
443 229","1764 1852
13375 12652
11024 10533
13922 14595
12615 12788
1877 1560"
Total(1),489 456,1710 1476,22966 22931,25165 24863,54577 53980
