,"Acidentes com
vítimas","Acidentes com
mortos e/ou f.
graves","Acidentes com
mortos","Índice
de
Gravidade"
,2006 2007,2006 2007,2006 2007,2006 2007
"REGIÃO DE
LISBOA
E VALE TEJO
Lisboa
Santarém
Setúbal","12011 11744
7179 6951
2095 2125
2737 2668","1148 1025
659 497
222 266
267 262","217 242
94 97
47 66
76 79","2,0 2,3
1,4 1,5
2,4 3,2
3,1 3,5"
