,Geral,"Dentro das
localidades",Peões,"Utentes veículos
duas rodas(1)"
,"Vítimas Feridos
mortais graves","Vítimas Feridos
mortais graves","Vítimas Feridos
mortais graves","Vítimas Feridos
mortais graves"
"1998
1999
2000
Média 98/00
2001
2002
2003
2004
2005
2006
2007","1865 8177
1750 7697
1629 6918
1748 7597
1466 5797
1469 4770
1356 4659
1135 4190
1094 3762
850 3483
854 3116","762 5177
759 4804
634 4163
718 4715
632 3365
613 2739
578 2734
488 2587
471 2280
393 2064
341 1793","356 1711
345 1537
337 1365
346 1538
296 1098
297 906
246 902
204 766
188 714
137 617
137 619","488 2558
444 2218
383 1905
438 2227
362 1522
324 1141
325 1213
265 1092
258 985
205 881
189 808"
"Valor pretendido
para 2009",874 3799,287 1886,138 615,175 891
