,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=14,828,784,804,852,2,4,1634,1640
15-19,555,590,498,465,3,1,1056,1056
20-24,612,620,548,515,0,1,1160,1136
25-29,454,456,321,315,0,0,775,771
30-34,375,382,255,227,1,0,631,609
35-39,343,358,196,212,0,0,539,570
40-44,357,340,201,148,0,0,558,488
45-49,388,389,175,165,0,0,563,554
50-54,397,419,158,142,0,0,555,561
55-59,383,368,145,139,0,0,528,507
60-64,350,387,104,129,1,1,455,517
65-69,371,361,108,93,0,0,479,454
70-74,332,348,83,77,0,0,415,425
>=75,481,522,159,176,1,0,641,698
N.D.,18,7,21,6,3,2,42,15
TOTAL,6244,6331,3776,3661,11,9,10031,10001
