,,VÍTIMAS MORTAIS,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2013,4,4,3,1,3,1,3,8,5,6,10,47,2,97
,2014,0,0,2,2,5,5,1,4,8,8,7,49,0,91
,14-13,-4,-4,-1,1,2,4,-2,-4,3,2,-3,2,-2,-6
Veíc. Ligeiros *,2013,0,9,28,19,19,23,22,21,14,22,18,57,0,252
,2014,1,8,29,21,8,19,19,11,21,15,17,54,1,224
,14-13,1,-1,1,2,-11,-4,-3,-10,7,-7,-1,-3,1,-28
Veíc. Pesados *,2013,-,-,-,-,3,4,0,1,5,2,6,7,-,28
,2014,-,-,-,-,0,1,1,2,2,1,3,0,-,10
,14-13,-,-,-,-,-3,-3,1,1,-3,-1,-3,-7,-,-18
Velocípedes *,2013,-,0,2,1,1,-,3,3,2,2,1,4,1,20
,2014,-,1,0,0,0,-,0,3,3,3,0,9,0,19
,14-13,-,1,-2,-1,-1,-,-3,0,1,1,-1,5,-1,-1
Ciclomotores *,2013,-,2,5,-,0,1,3,3,4,3,6,14,-,41
,2014,-,2,0,-,1,1,1,3,5,4,6,11,-,34
,14-13,-,0,-5,-,1,0,-2,0,1,1,0,-3,-,-7
Motociclos *,2013,1,4,6,7,13,9,6,8,3,3,0,2,-,62
,2014,0,3,1,10,15,9,11,7,8,4,1,1,-,70
,14-13,-1,-1,-5,3,2,0,5,-1,5,1,1,-1,-,8
Outros,2013,1,0,0,0,1,2,1,0,1,0,3,9,-,18
,2014,2,1,1,1,0,2,2,2,3,1,1,18,-,34
,14-13,1,1,1,1,-1,0,1,2,2,1,-2,9,-,16
TOTAL,2013,6,19,44,28,40,40,38,44,34,38,44,140,3,518
,2014,3,15,33,34,29,37,35,32,50,36,35,142,1,482
,14-13,-3,-4,-11,6,-11,-3,-3,-12,16,-2,-9,2,-2,-36
