,,,,Pontos Negros,,,% Total,,,Total Nacional,
,Nº Acidentes,,341,,,"1,11%",,,30604,,
,Nº Veiculos,,592,,,"1,22%",,,48667,,
,Nº Mortos,,6,,,"1,24%",,,482,,
,Nº Fgraves,,18,,,"0,84%",,,2152,,
,Nº Fligeiros,,459,,,"1,24%",,,37019,,
