,,"Atropelamento
2013","Atropelamento
2014","Colisão
2013","Colisão
2014","Despiste
2013","Despiste
2014","Total
veículos (V)
2013","Total
veículos (V)
2014","Veículos
circulação
(Vci)","V/1000
Vci
2014"
Veíc. Ligeiros,Passageiros,3784,3598,20606,20376,5873,6043,30263,30017,-,-
,Mercadorias,849,827,4926,4999,1377,1452,7152,7278,-,-
,Outros,60,36,289,278,86,73,435,387,-,-
,N.D.,103,125,120,91,22,11,245,227,-,-
,Total,4796,4586,25941,25744,7358,7579,38095,37909,5440125,7
Veíc. Pesados,Passageiros,83,108,323,279,14,14,420,401,-,-
,Mercadorias,44,55,795,762,149,135,988,952,-,-
,Outros,20,12,179,145,45,28,244,185,-,-
,N.D.,0,0,8,5,0,1,8,6,-,-
,Total,147,175,1305,1191,208,178,1660,1544,134136,12
Velocípedes,,66,78,1420,1433,276,403,1762,1914,-,-
Ciclomotores,,76,87,1643,1547,1018,1053,2737,2687,-,-
Motociclos,,115,135,2265,2356,1238,1414,3618,3905,200720,19
Outros,,69,79,370,328,244,287,683,694,-,-
N.D.,,17,12,3,2,0,0,20,14,-,-
TOTAL,,5286,5152,32947,32601,10342,10914,48575,48667,-,-
