,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=14,19,15,150,166,0,0,169,181
15-19,260,273,955,971,0,1,1215,1245
20-24,928,1007,1646,1683,3,5,2577,2695
25-29,997,970,1577,1528,0,0,2574,2498
30-34,1009,1000,1657,1576,5,2,2671,2578
35-39,1060,1026,1762,1766,1,2,2823,2794
40-44,907,998,1509,1510,1,3,2417,2511
45-49,740,790,1309,1361,1,5,2050,2156
50-54,606,656,1234,1218,4,3,1844,1877
55-59,412,477,1017,1070,4,2,1433,1549
60-64,307,338,873,845,1,2,1181,1185
65-69,221,222,731,714,1,1,953,937
70-74,111,148,644,666,0,2,755,816
>=75,107,106,1065,1144,3,4,1175,1254
N.D.,4,2,13,10,6,10,23,22
TOTAL,7688,8028,16142,16228,30,42,23860,24298
