,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=14,18,14,143,149,0,0,161,163
15-19,254,265,896,902,0,1,1150,1168
20-24,911,982,1503,1556,2,4,2416,2542
25-29,973,956,1452,1396,0,0,2425,2352
30-34,984,983,1525,1445,4,2,2513,2430
35-39,1037,1009,1631,1622,1,1,2669,2632
40-44,888,970,1391,1366,1,3,2280,2339
45-49,725,773,1206,1236,1,5,1932,2014
50-54,588,637,1133,1101,3,3,1724,1741
55-59,400,464,917,962,4,2,1321,1428
60-64,293,324,807,780,1,2,1101,1106
65-69,209,214,671,653,1,0,881,867
70-74,105,145,590,604,0,2,695,751
>=75,97,96,975,1029,3,4,1075,1129
N.D.,4,2,11,9,6,10,21,21
TOTAL,7486,7834,14851,14810,27,39,22364,22683
