,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=5,2,5,9,4,0,0,11,9
6-9,3,5,9,8,0,0,12,13
10-14,13,9,15,10,0,0,28,19
15-19,7,14,11,14,0,0,18,28
20-24,9,12,11,11,0,0,20,23
25-29,5,3,9,6,0,0,14,9
30-34,6,5,3,9,0,0,9,14
35-39,8,4,21,9,0,0,29,13
40-44,7,13,22,13,0,0,29,26
45-49,7,10,14,8,0,0,21,18
50-54,17,13,7,15,0,0,24,28
55-59,20,20,17,15,0,0,37,35
60-64,23,14,13,16,0,0,36,30
65-69,16,27,12,21,0,0,28,48
70-74,19,13,21,18,0,0,40,31
>=75,63,58,56,59,0,0,119,117
TOTAL,225,225,250,236,0,0,475,461
