,"Feminino
2013","Feminino
2014","Masculino
2013","Masculino
2014","N.D.
2013","N.D.
2014","Total
2013","Total
2014",População,"Total cond./
1000 hab."
<=14,21,16,159,171,0,0,180,187,1438422,0
15-19,387,385,1338,1357,0,2,1725,1744,514723,3
20-24,1509,1590,3202,3192,4,6,4715,4788,528371,9
25-29,1662,1589,3113,3052,5,3,4780,4644,550817,8
30-34,1807,1733,3407,3285,8,7,5222,5025,653176,8
35-39,2049,1861,3833,3718,8,6,5890,5585,768885,7
40-44,1720,1832,3373,3327,5,8,5098,5167,749795,7
45-49,1373,1400,2976,3020,7,12,4356,4432,727992,6
50-54,1100,1167,2807,2769,6,9,3913,3945,711246,6
55-59,738,871,2298,2459,7,7,3043,3337,658610,5
60-64,531,588,2010,1965,5,5,2546,2558,617848,4
65-69,370,388,1643,1603,2,5,2015,1996,554876,4
70-74,226,264,1322,1361,3,5,1551,1630,462994,4
>=75,184,181,1903,1977,7,6,2094,2164,980793,2
N.D.,13,5,60,51,1205,1268,1278,1324,-,-
TOTAL,13690,13870,33444,33307,1272,1349,48406,48526,-,-
