,<=4 anos,,5 a 9 anos,,10 a 14 anos,,15 a 19 anos,,>=20 anos,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014
Veíc. Ligeiros,5362,4996,9374,8642,10492,9899,8008,8898,4232,4943,627,531,38095,37909
Veíc. Pesados,266,248,515,476,481,391,208,268,155,136,35,25,1660,1544
Ciclomotores,678,455,948,1156,279,226,333,314,446,497,53,39,2737,2687
Motociclos,1326,1418,790,842,665,691,440,534,344,374,53,46,3618,3905
TOTAL,7632,7117,11627,11116,11917,11207,8989,10014,5177,5950,768,641,46110,46045
