,,TOTAL DE VÍTIMAS,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2013,778,443,295,218,222,240,290,295,352,335,392,1633,6,5499
,2014,721,438,306,203,210,267,279,274,334,341,333,1644,4,5354
,14-13,-57,-5,11,-15,-12,27,-11,-21,-18,6,-59,11,-2,-145
Veíc. Ligeiros *,2013,1502,1356,3002,2502,2392,2312,2053,1772,1663,1417,1133,3206,54,24364
,2014,1525,1414,3073,2446,2232,2276,2039,1862,1667,1393,1223,3314,29,24493
,14-13,23,58,71,-56,-160,-36,-14,90,4,-24,90,108,-25,129
Veíc. Pesados *,2013,48,21,31,42,49,70,69,63,81,57,56,89,1,677
,2014,48,15,21,27,38,59,55,67,77,57,43,51,1,559
,14-13,0,-6,-10,-15,-11,-11,-14,4,-4,0,-13,-38,0,-118
Velocípedes *,2013,172,215,107,101,138,166,137,132,118,93,110,215,4,1708
,2014,175,183,134,89,139,167,176,146,159,129,91,255,2,1845
,14-13,3,-32,27,-12,1,1,39,14,41,36,-19,40,-2,137
Ciclomotores *,2013,27,307,163,127,149,227,266,297,285,228,201,566,3,2846
,2014,28,289,163,145,158,191,224,279,257,268,203,597,4,2806
,14-13,1,-18,0,18,9,-36,-42,-18,-28,40,2,31,1,-40
Motociclos *,2013,39,345,409,548,551,566,423,310,214,137,108,125,2,3777
,2014,27,372,417,538,593,638,477,326,246,182,100,120,1,4037
,14-13,-12,27,8,-10,42,72,54,16,32,45,-8,-5,-1,260
Outros,2013,15,27,25,29,22,21,27,39,38,29,28,217,1,518
,2014,18,28,23,24,27,33,28,30,32,27,42,247,0,559
,14-13,3,1,-2,-5,5,12,1,-9,-6,-2,14,30,-1,41
N.D.,2013,-,-,-,-,1,-,-,-,-,-,-,-,-,1
,2014,-,-,-,-,0,-,-,-,-,-,-,-,-,0
,14-13,-,-,-,-,-1,-,-,-,-,-,-,-,-,-1
TOTAL,2013,2581,2714,4032,3567,3524,3602,3265,2908,2751,2296,2028,6051,71,39390
,2014,2542,2739,4137,3472,3397,3631,3278,2984,2772,2397,2035,6228,41,39653
,14-13,-39,25,105,-95,-127,29,13,76,21,101,7,177,-30,263
