,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=14,808,765,786,825,2,4,1596,1594
15-19,529,574,467,434,3,0,999,1008
20-24,589,594,509,477,0,1,1098,1072
25-29,435,443,297,293,0,0,732,736
30-34,361,374,238,208,1,0,600,582
35-39,329,344,172,200,0,0,501,544
40-44,344,320,184,139,0,0,528,459
45-49,372,371,152,155,0,0,524,526
50-54,384,402,146,128,0,0,530,530
55-59,366,355,132,135,0,0,498,490
60-64,340,376,98,123,1,1,439,500
65-69,359,346,103,86,0,0,462,432
70-74,317,334,78,74,0,0,395,408
>=75,445,483,139,157,1,0,585,640
N.D.,17,6,20,5,3,2,40,13
TOTAL,5995,6087,3521,3439,11,8,9527,9534
