,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65
População,1438422,514723,528371,550817,653176,768885,749795,727992,711246,658610,617848,1998663
M/Milhão hab.,2,29,62,62,44,48,47,44,70,55,57,71
