,VÍTIMAS MORTAIS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=5,0,-,2,-,0,-,2,-
6-9,0,-,2,-,0,-,2,-
15-19,0,-,4,-,0,-,4,-
20-24,0,2,3,0,0,0,3,2
25-29,0,1,1,1,0,0,1,2
30-34,0,0,3,5,0,0,3,5
35-39,0,2,1,3,0,0,1,5
40-44,1,1,2,0,0,0,3,1
45-49,4,0,4,4,0,0,8,4
50-54,2,2,3,6,0,0,5,8
55-59,1,4,5,4,0,0,6,8
60-64,0,1,10,6,0,0,10,7
65-69,5,2,7,4,0,0,12,6
70-74,5,2,5,3,0,0,10,5
>=75,11,20,14,18,0,0,25,38
N.D.,0,-,2,-,0,-,2,-
TOTAL,29,37,68,54,0,0,97,91
