,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=5,55,65,103,97,0,0,158,162
6-9,82,80,139,118,0,0,221,198
10-14,191,170,208,191,0,0,399,361
15-19,266,261,177,177,0,0,443,438
20-24,169,187,126,119,0,0,295,306
25-29,127,118,91,85,0,0,218,203
30-34,127,104,95,106,0,0,222,210
35-39,107,146,133,121,0,0,240,267
40-44,157,147,133,132,0,0,290,279
45-49,170,150,125,124,0,0,295,274
50-54,217,194,135,140,0,0,352,334
55-59,189,201,146,140,0,0,335,341
60-64,243,195,148,138,1,0,392,333
65-69,193,210,139,153,0,0,332,363
70-74,213,202,174,153,0,0,387,355
>=75,502,505,412,421,0,0,914,926
N.D.,2,0,4,4,0,0,6,4
TOTAL,3010,2935,2488,2419,1,0,5499,5354
