,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=14,19,18,17,26,0,0,36,44
15-19,24,14,29,26,0,1,53,41
20-24,16,22,32,30,0,0,48,52
25-29,17,13,20,16,0,0,37,29
30-34,11,8,16,16,0,0,27,24
35-39,13,14,21,9,0,0,34,23
40-44,10,20,11,7,0,0,21,27
45-49,14,18,19,7,0,0,33,25
50-54,11,12,10,11,0,0,21,23
55-59,16,10,9,3,0,0,25,13
60-64,7,9,3,4,0,0,10,13
65-69,9,13,3,6,0,0,12,19
70-74,11,12,3,3,0,0,14,15
>=75,23,32,12,13,0,0,35,45
N.D.,1,1,1,0,0,0,2,1
TOTAL,202,216,206,177,0,1,408,394
