,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=14,1,1,7,16,0,0,8,17
15-19,5,8,49,61,0,0,54,69
20-24,16,22,117,111,1,1,134,134
25-29,23,10,105,110,0,0,128,120
30-34,24,16,100,111,1,0,125,127
35-39,17,13,102,119,0,1,119,133
40-44,15,24,96,116,0,0,111,140
45-49,11,16,77,101,0,0,88,117
50-54,14,14,81,88,0,0,95,102
55-59,11,11,74,86,0,0,85,97
60-64,9,12,43,43,0,0,52,55
65-69,11,8,44,43,0,0,55,51
70-74,6,3,37,46,0,0,43,49
>=75,9,9,64,76,0,0,73,85
N.D.,0,0,1,1,0,0,1,1
TOTAL,172,167,997,1128,2,2,1171,1297
