,VÍTIMAS MORTAIS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=14,1,1,1,1,0,0,2,2
15-19,2,2,2,5,0,0,4,7
20-24,7,4,7,8,0,0,14,12
25-29,2,0,4,6,0,0,6,6
30-34,3,0,1,3,0,0,4,3
35-39,1,0,3,3,0,0,4,3
40-44,3,0,6,2,0,0,9,2
45-49,2,0,4,3,0,0,6,3
50-54,2,5,2,3,0,0,4,8
55-59,1,3,4,1,0,0,5,4
60-64,3,2,3,2,0,0,6,4
65-69,3,2,2,1,0,0,5,3
70-74,4,2,2,0,0,0,6,2
>=75,13,7,8,6,0,0,21,13
N.D.,-,0,-,1,-,0,-,1
TOTAL,47,28,49,45,0,0,96,73
