,,1999,,2000,,2001,,2002,,2003,,
,,Açores,Madeira,Açores,Madeira,Açores,Madeira,Açores,Madeira,Açores,,Madeira
Ligeiros,,428,688,442,843,357,631,309,571,276,,446
Pesados,,22,63,21,62,26,103,17,29,10,,29
,Passageiros,22,24,4,9,7,36,2,13,2,,4
,Mercadorias (1),0,39,17,53,19,67,15,16,8,,25
Motociclos,,37,13,29,26,20,38,20,19,17,,16
Tractores,,23,20,22,17,11,9,11,3,8,,0
Reboques,,124,8,170,8,276,4,224,0,1,,6
,Total,634,792,684,956,690,785,581,622,312,,497
