,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
Dentro das localidades,197,163,794,785,6090,5919,7081,6867
Arruamento,107,110,632,611,5202,5058,5941,5779
Estrada Nacional,68,38,119,120,587,585,774,743
Estrada Municipal,15,13,40,46,258,240,313,299
Itinerário Complementar,6,1,1,2,13,11,20,14
Outra Via (1),1,1,2,6,30,25,33,32
Fora das localidades,100,83,112,117,437,407,649,607
Auto-Estrada,9,10,6,5,19,24,34,39
Estrada Nacional,67,41,71,64,236,220,374,325
Estrada Municipal,9,11,19,30,137,120,165,161
Itinerário Complementar,8,17,8,12,26,22,42,51
Outra Via (1),7,4,8,6,19,21,34,31
Total,297,246,906,902,6527,6326,7730,7474
Auto-Estrada,9,10,6,5,19,24,34,39
Arruamento,107,110,632,611,5202,5058,5941,5779
Estrada Nacional,135,79,190,184,823,805,1148,1068
Estrada Municipal,24,24,59,76,395,360,478,460
Itinerário Complementar,14,18,9,14,39,33,62,65
Outra Via (1),8,5,10,12,49,46,67,63
