,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,2800,81,378,2542,3001
REGIÃO,Colisão,6876,171,868,8913,9952
LISBOA E,Despiste,3621,124,510,4184,4818
VALE TEJO,Total,13297,376,1756,15639,17771
,Atropelamentos,2040,47,256,1866,2169
Lisboa,Colisão,4143,72,428,5411,5911
,Despiste,1796,49,226,2071,2346
,Total,7979,168,910,9348,10426
,Atropelamentos,279,17,64,228,309
Santarém,Colisão,1275,64,301,1529,1894
,Despiste,1015,35,182,1108,1325
,Total,2569,116,547,2865,3528
,Atropelamentos,481,17,58,448,523
Setúbal,Colisão,1458,35,139,1973,2147
,Despiste,810,40,102,1005,1147
,Total,2749,92,299,3426,3817
