REGIÃO DO ALGARVE,"Acidentes
com vítimas","Acidentes com
mortos e/ou
f. graves","Acidentes
com
mortos",Mortos,"Feridos
graves","Feridos
leves"
Faro,2767,388,98,108,357,3166
Dentro Localidade,1297,125,15,17,121,1401
Fora Localidade,1470,263,83,91,236,1765
