,Homens,,Mulheres,,
,,,,,Total
,,,,,
,,%,,%,
,,,,,
Até 24 anos,349.248,"56,53",268.546,"43,47",
,,,,,617.794
,,,,,
25-44 anos,1.336.166,"57,10",1.003.796,"42,90",
,,,,,2.339.962
,,,,,
45-64 anos,959.352,"70,51",401.284,"29,49",
,,,,,1.360.636
,,,,,
65-74 anos,298.898,"82,71",62.503,"17,29",
,,,,,361.401
,,,,,
> 74 anos,161.230,"89,48",18.964,"10,52",
,,,,,180.194
,,,,,
Total,3.104.894,"63,89",1.755.093,"36,11",
,,,,,4.859.987
