,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso álcool no sangue,85,
,Encandeamento provocado por máximos,73,
,Sub-total,158,
Infracções Graves,,,
,Excesso de velocidade,1403,
,Desrespeito pela obrigação de parar,862,
,Transposição linha contínua,233,
,Ultrapassagem,77,
,Condução com excesso álcool no sangue,58,
,Sub-total,2575,
Infracções Leves,,,
,Paragem ou estacionamento proibido,36116,
,Uso aparelhos proibidos,2543,
,Não utilização do cinto,2234,
,Falta apresentação documentos,1547,
,Desrespeito da sinalização,750,
,Sub-total,43190,
