,,,,,,,,,,,,
,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,,,,,,,,,,,,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Velocidade excessiva,11624,11351,533,514,1498,1515,14972,14508,17003,16537,"4,6","4,5"
,,,,,,,,,,,,
Desresp. cedên. passag/priorid.,3 8 1 5,3 5 9 7,81,61,318,329,4755,4525,5154,4915,"2,1","1,7"
Distracção,3 1 3 0,3 308,34,49,239,219,3675,3920,3948,4188,"1,1","1,5"
Desrespeito stop/sinal vermelho,1 7 4 5,1 6 70,45,37,164,171,2377,2311,2586,2519,"2,6","2,2"
Desvio brusco/saída fila trânsito,1 4 8 5,1 4 1 2,92,67,221,212,2095,1986,2408,2265,"6,2","4,7"
Outra ultrapassagem irregular,1 1 2 3,9 9 5,57,42,158,129,1492,1276,1707,1447,"5,1","4,2"
Obst. imprevisto faixa rodagem,7 3 5,7 9 1,31,33,68,65,817,864,916,962,"4,2","4,2"
,,,,,,,,,,,,
Sonolência/Adormecimento,6 5 9,7 4 9,2 2,27,58,111,865,944,945,1082,"3,3","3,6"
,,,,,,,,,,,,
Desresp. distâncias segurança,5 3 0,509,10,5,25,21,667,649,702,675,"1,9","1,0"
,,,,,,,,,,,,
Encandeamento,2 4 4,3 3 2,2,5,16,32,296,363,314,400,"0,8","1,5"
,,,,,,,,,,,,
Rebentamento de pneumático,2 9 2,3 1 5,9,4,50,31,437,480,496,515,"3,1","1,3"
,,,,,,,,,,,,
Circ. sentido oposto estabelec.,2 7 6,2 8 0,25,27,60,57,371,362,456,446,"9,1","9,6"
,,,,,,,,,,,,
Não sinaliz./má sinaliz. manobra,2 8 8,2 4 8,8,4,22,13,335,290,365,307,"2,8","1,6"
,,,,,,,,,,,,
Ultrapassag. c/ desresp.sinaliz.,2 2 4,1 9 6,8,9,29,25,283,261,320,295,"3,6","4,6"
,,,,,,,,,,,,
Doença súbita,1 2 5,1 5 8,4,15,12,14,134,169,150,198,"3,2","9,5"
,,,,,,,,,,,,
Circ. afastada da berma/passeio,1 4 4,1 4 2,4,1,12,10,187,171,203,182,"2,8","0,7"
,,,,,,,,,,,,
Pisar/transp. linha long. contínua,1 3 9,1 38,6,11,22,34,201,191,229,236,"4,3","8,0"
Ausência luzes obrigatórias,4 4,46,8,5,3,13,42,42,53,60,"18,2","10,9"
Queda de carga ou objecto,4 6,46,0,0,2,0,56,61,58,61,"0,0","0,0"
Não identificada,1 4 7 2 8,1 4 5 08,464,416,1695,1572,16961,16552,19120,18540,"3,2","2,9"
Não definida,8 2 3,7 0 4,26,24,98,86,797,674,921,784,"3,2","3,4"
,,,,,,,,,,,,
Total,42219,41495,1469,1356,4770,4659,51815,50599,58054,56614,"3,5","3,3"
,,,,,,,,,,,,
