,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,Ligeiro*,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,,,,,11045,,,,,
LISBOAE,2571,9967,370,1026,1372,296,15639,3042,,417,1235,1629,351,17771
V. TEJO,,,,,,,,,,,,,,
Lisboa,1901,5670,212,450,940,157,9348,2214,6177,238,506,1096,173,10426
Santarém,220,1968,102,338,156,63,2865,302,2322,120,457,210,91,3528
Setúbal,450,2329,56,238,276,76,3426,526,2546,59,272,323,87,3817
