,,,Feridos graves,,
REGIÃO DO ALGARVE,,Mortos,,Feridos leves,Total vítimas
,,,,,
,Peões,20,60,310,390
,Ligeiros*,50,146,1845,2041
Faro,Pesados*,0,2,35,37
,Ciclomotores*,15,77,537,629
,Motociclos*,20,55,299,374
,Velocípedes*,2,16,137,155
,Total (2),108,357,3166,3631
