,,Acidentes,,,,
,Acidentes c/,com mortos,Acidentes,,Feridos,Feridos
,,,,Mortos,,
,vítimas,e/ou f.,com mortos,,graves,leves
,,,,,,
,,graves,,,,
REGIÃO NORTE,,,,,,
,11627,1094,301,332,1010,14944
,,,,,,
,,,,,,
Dentro Localidade,8953,805,193,212,739,11163
,,,,,,
Fora Localidade,2674,289,108,120,271,3781
,,,,,,
Braga,3051,309,87,91,272,3996
,,,,,,
Dentro Localidade,2477,261,66,70,234,3157
,,,,,,
Fora Localidade,574,48,21,21,38,839
,,,,,,
Bragança,482,96,21,24,101,581
,,,,,,
Dentro Localidade,224,47,6,6,50,234
,,,,,,
Fora Localidade,258,49,15,18,51,347
,,,,,,
Porto,6302,504,126,141,469,8046
,,,,,,
Dentro Localidade,5142,396,89,99,368,6407
,,,,,,
Fora Localidade,1160,108,37,42,101,1639
,,,,,,
V. Castelo,1053,100,38,45,90,1360
,,,,,,
Dentro Localidade,659,52,20,23,42,824
,,,,,,
Fora Localidade,394,48,18,22,48,536
,,,,,,
V. Real,739,85,29,31,78,961
,,,,,,
Dentro Localidade,451,49,12,14,45,541
,,,,,,
Fora Localidade,288,36,17,17,33,420
,,,,,,
