,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,,,,,,,,,,
CENTRO,1274,9083,289,2179,993,459,14407,1520,9850,323,2402,1171,530,15950
,,,,,,,,,,,,,,
Aveiro,408,2273,54,858,278,154,4050,467,2427,58,926,322,180,4408
,,,,,,,,,,,,,,
C. Branco,92,591,30,56,44,16,845,120,673,33,74,61,21,1001
,,,,,,,,,,,,,,
Coimbra,241,1716,54,425,224,103,2789,282,1815,61,459,248,116,3009
,,,,,,,,,,,,,,
Guarda,34,540,19,64,42,7,715,50,627,26,82,53,10,864
,,,,,,,,,,,,,,
Leiria,307,2473,81,518,278,134,3822,361,2681,88,568,333,155,4224
,,,,,,,,,,,,,,
Viseu,192,1490,51,258,127,45,2186,240,1627,57,293,154,48,2444
,,,,,,,,,,,,,,
