,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,,,
,,,,,,,,,,,,
Jan,3239,3252,103,110,332,318,3919,3876,4354,4304,"3,2","3,4"
Fev,3083,2935,119,84,344,341,3726,3400,4189,3825,"3,9","2,9"
,,,,,,,,,,,,
Mar,3537,3250,150,104,447,349,4320,3881,4917,4334,"4,2","3,2"
,,,,,,,,,,,,
Abr,3272,3267,124,107,351,367,3928,4056,4403,4530,"3,8","3,3"
Mai,3610,3609,110,119,427,453,4344,4302,4881,4874,"3,0","3,3"
,,,,,,,,,,,,
Jun,3624,3686,106,110,400,441,4532,4633,5038,5184,"2,9","3,0"
,,,,,,,,,,,,
Jul,3982,3726,157,122,497,405,4904,4582,5558,5109,"3,9","3,3"
Ago,3961,4159,130,138,445,521,5154,5392,5729,6051,"3,3","3,3"
,,,,,,,,,,,,
Set,3516,3557,124,124,347,365,4413,4309,4884,4798,"3,5","3,5"
,,,,,,,,,,,,
Out,3449,3611,118,122,384,402,4111,4365,4613,4889,"3,4","3,4"
Nov,3465,3114,105,101,365,321,4256,3770,4726,4192,"3,0","3,2"
,,,,,,,,,,,,
Dez,3481,3329,123,115,431,376,4208,4033,4762,4524,"3,5","3,5"
,,,,,,,,,,,,
Total,42219,41495,1469,1356,4770,4659,51815,50599,58054,56614,"3,5","3,3"
