,,"Parque automóvel em
circulação (1)",Condutores vítimas,"Cond. vitimas/1000 veíc.
em circulação"
,Veículos ligeiros,4825620,20227,"4,2"
,Veículos pesados,152183,599,"3,9"
,Motociclos,143437,4203,"29,3"
