,,,Grupos etários,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total(1)
Velocidade,,2002,66,1281,3206,3002,2350,1881,1588,1263,964,747,526,829,18016
,Velocidade,,,,,,,,,,,,,,
Excessiva,,2003,44,1106,3165,2841,2136,1830,1585,1265,1051,739,521,908,17463
,Excessiva,,,,,,,,,,,,,,
,,03/02,-22,-175,-41,-161,-214,-51,-3,2,87,-8,-5,79,-553
,,,,,,,,,,,,,,,
Desrespeito de,,2002,67,465,1081,1082,845,765,659,512,492,393,309,664,7443
,Desrespeito de,,,,,,,,,,,,,,
cedência de,,2003,59,434,1016,981,810,694,621,547,432,380,295,672,7016
,cedência de,,,,,,,,,,,,,,
passagem,,03/02,-8,-31,-65,-101,-35,-71,-38,35,-60,-13,-14,8,-427
,passagem,,,,,,,,,,,,,,
Distracção ou,,2002,41,289,847,828,695,557,503,435,341,276,230,426,5556
,Distracção ou,,,,,,,,,,,,,,
Sonolência,,2003,37,260,836,845,742,594,562,475,417,297,252,483,5888
,Sonolência,,,,,,,,,,,,,,
,,03/02,-4,-29,-11,17,47,37,59,40,76,21,22,57,332
,,,,,,,,,,,,,,,
Desrespeito stop,,2002,19,213,509,541,396,355,306,261,254,181,172,317,3569
,Desrespeito stop,,,,,,,,,,,,,,
ou sinal vermelho,,2003,28,174,486,535,399,331,304,257,226,180,131,316,3415
,ou sinal vermelho,,,,,,,,,,,,,,
,,03/02,9,-39,-23,-6,3,-24,-2,-4,-28,-1,-41,-1,-154
,,,,,,,,,,,,,,,
Desvio brusco ou,,2002,15,140,389,431,348,248,259,186,179,124,96,163,2615
,Desvio brusco ou,,,,,,,,,,,,,,
saída fila trânsito,,2003,18,124,364,373,301,275,214,209,163,108,101,165,2465
,saída fila trânsito,,,,,,,,,,,,,,
,,03/02,3,-16,-25,-58,-47,27,-45,23,-16,-16,5,2,-150
,,,,,,,,,,,,,,,
Ultrapassagem,,2002,10,196,425,419,318,272,234,176,167,129,117,206,2732
,Ultrapassagem,,,,,,,,,,,,,,
irregular,,2003,6,167,374,345,290,254,232,169,132,108,91,195,2412
,irregular,,,,,,,,,,,,,,
,,03/02,-4,-29,-51,-74,-28,-18,-2,-7,-35,-21,-26,-11,-320
,,,,,,,,,,,,,,,
,,2002,33,264,688,670,595,552,460,376,277,222,207,352,4759
,,,,,,,,,,,,,,,
Outras,,2003,41,275,669,746,632,530,492,377,336,236,175,333,4912
,Outras,,,,,,,,,,,,,,
,,03/02,8,11,-19,76,37,-22,32,1,59,14,-32,-19,153
,,,,,,,,,,,,,,,
,,2002,131,1391,3697,3732,2872,2450,2168,1705,1406,1150,888,1416,23598
,,,,,,,,,,,,,,,
Não identificada,,2003,122,1294,3407,3719,2899,2418,2182,1811,1411,1125,854,1555,23381
,Não identificada,,,,,,,,,,,,,,
,,03/02,-9,-97,-290,-13,27,-32,14,106,5,-25,-34,139,-217
,,,,,,,,,,,,,,,
,,2002,7,33,81,88,74,63,31,40,33,22,15,27,691
,,,,,,,,,,,,,,,
Não definida,,2003,5,18,42,53,45,33,24,20,17,21,17,22,469
,Não definida,,,,,,,,,,,,,,
,,03/02,-2,-15,-39,-35,-29,-30,-7,-20,-16,-1,2,-5,-222
,,,,,,,,,,,,,,,
,,2002,389,4272,10923,10793,8493,7143,6208,4954,4113,3244,2560,4400,68979
Total,,2003,360,3852,10359,10438,8254,6959,6216,5130,4185,3194,2437,4649,67421
,Total,,,,,,,,,,,,,,
,,03/02,-29,-420,-564,-355,-239,-184,8,176,72,-50,-123,249,-1558
