,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso de álcool no sangue,268,
,Excesso de velocidade,28,
,Sub-total,296,
Infracções Graves,,,
,Excesso de velocidade,678,
,Desrespeito pela obrigação de parar,336,
,Transposição linha contínua,245,
,Condução com excesso álcool no sangue,217,
,Ultrapassagem,50,
,Sub-total,1526,
Infracções Leves,,,
,Paragem ou estacionamento proibido,8061,
,Excesso de velocidade,2602,
,Desrespeito da sinalização,2175,
,Falta apresentação documentos,1089,
,Não utilização do cinto,964,
,Sub-total,14891,
