,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Ligeiro*,,,,,Total,,,,,,,Total
,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,9633,,,,,,,,,,,,
NORTE,2001,,245,1521,1255,247,14944,2296,10223,262,1702,1466,278,16286
,,,,,,,,,,,,,,
Braga,488,2641,67,386,332,76,3996,584,2795,69,432,391,81,4359
Bragança,46,455,10,32,22,7,581,66,520,12,45,39,8,706
Porto,1249,4925,142,848,744,130,8046,1397,5163,151,939,846,148,8656
V.Castelo,128,918,13,160,102,28,1360,143,992,13,178,123,34,1495
V.Real,90,694,13,95,55,6,961,106,753,17,108,67,7,1070
