"Ind. Grav.
(M/M+FGx100)",,Total,"<= 24
anos","25-44
anos","45-64
anos",">= 65
anos"
1999,Semana,"17,5","9,2","15,6","18,4","23,3"
,Fim-de-sem.,"20,7","14,5","19,2","23,0","24,7"
2000,Semana,"18,9","6,9","18,0","21,7","25,5"
,Fim-de-sem.,"22,5","14,4","23,2","23,0","29,5"
2001,Semana,"19,9","11,4","16,9","26,4","23,0"
,Fim-de-sem.,"22,3","8,5","24,2","22,7","30,5"
2002,Semana,"23,7","7,2","25,1","29,0","29,8"
,Fim-de-sem.,"27,2","19,7","29,6","28,6","29,7"
2003,Semana,"20,1","9,0","17,1","20,6","27,4"
,Fim-de-sem.,"24,9","19,4","18,9","22,4","34,4"
