,,,Grupos etários,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total(1)
,,2002,345,2927,7480,7614,6075,5180,4531,3665,3130,2454,1909,3316,49577
,,,,,,,,,,,,,,,
Colisão,,2003,316,2609,6996,7301,5891,4969,4509,3776,3110,2385,1818,3406,47956
,Colisão,,,,,,,,,,,,,,
,,03/02,-29,-318,-484,-313,-184,-211,-22,111,-20,-69,-91,90,-1621
,,,,,,,,,,,,,,,
,,2002,33,986,2370,2076,1541,1228,1054,770,560,429,393,723,12413
,,,,,,,,,,,,,,,
Despiste,,2003,30,935,2395,2096,1552,1257,1061,857,647,477,377,819,12784
,Despiste,,,,,,,,,,,,,,
,,03/02,-3,-51,25,20,11,29,7,87,87,48,-16,96,371
,,,,,,,,,,,,,,,
,,2002,11,359,1073,1103,877,735,623,519,423,361,258,361,6989
,,,,,,,,,,,,,,,
Atropelamento,,2003,14,308,968,1041,811,733,646,497,428,332,242,424,6681
,Atropelamento,,,,,,,,,,,,,,
,,03/02,3,-51,-105,-62,-66,-2,23,-22,5,-29,-16,63,-308
,,,,,,,,,,,,,,,
,,2002,389,4272,10923,10793,8493,7143,6208,4954,4113,3244,2560,4400,68979
Total,,2003,360,3852,10359,10438,8254,6959,6216,5130,4185,3194,2437,4649,67421
,Total,,,,,,,,,,,,,,
,,03/02,-29,-420,-564,-355,-239,-184,8,176,72,-50,-123,249,-1558
