,1999,2000,2001,2002,2003,
,450361,457251,394848,343250,290576,
Passageiros,351505,340334,301531,265583,223349,
Mercadorias (1),98856,116917,93317,77667,67227,
,8816,8902,8127,6000,4435,
Passageiros,1206,1458,1265,1016,915,
Mercadorias (2),7610,7444,6862,4984,3520,
,22927,22181,22102,19192,15959,
,14684,14798,14991,12928,8944,
,15621,15257,14193,12773,3448,
Total,512409,518389,454261,394143,323362,
