,2002,,,
REGIÕES AUTÓNOMAS,"Acidentes com
vítimas",Mortos,Feridos graves,Feridos leves
Total,9889,59,308,2144
Madeira,5864,26,181,1294
Açores,4025,33,127,850
Equiparado Ponta Delgada a),2686,13,58,568
Equiparado Angra Heroísmo b),904,13,46,186
Equiparado da Horta c),435,7,23,96
