,,,,,,,,,,,,,,
,Mortos,,,,,,,Feridos graves,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Peões,,,,,,Total,,,,,,,Total
,,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,65,,,,,,,,,,,,,
NORTE,,157,6,38,51,7,332,230,433,11,143,160,24,1010
,,,,,,,,,,,,,,
Braga,26,43,0,6,14,1,91,70,111,2,40,45,4,272
Bragança,2,16,0,1,2,1,24,18,49,2,12,15,0,101
Porto,33,57,3,23,20,3,141,115,181,6,68,82,15,469
V.Castelo,2,23,0,6,11,2,45,13,51,0,12,10,4,90
V.Real,2,18,3,2,4,0,31,14,41,1,11,8,1,78
