,,Acidentes,Manobras perigosas,Aleatórias
,Fiscalizações,"41,6","5,9","52,5"
,"TAS>=0,50 g/l","3,6","5,8","9,5"
,"TAS>=1,20 g/l","2,2","2,8","3,8"
